asset,status,side,queue_action,priority_score,observations,mean_score,last_outcome_15m,last_net_15m_bps,last_outcome_1h,last_net_1h_bps,execution_gate,conservative_net_15m_bps,reason,next_step
TRUMP,paper_crowded_momentum_reversal_candidate,short_perp,monitor_conflict_relabel,24.20695692,6,12.20695692,paper_15m_loss,-2.74800964,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for TRUMP 1h label, then rerun execution check if still visible"
kLUNC,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,24.10757849,6,12.10757849,paper_15m_loss,-54.82300959,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for kLUNC 1h label, then rerun execution check if still visible"
NXPC,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,24.03452474,6,12.03452474,paper_15m_loss,-42.10069276,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for NXPC 1h label, then rerun execution check if still visible"
kPEPE,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,24.01949873,6,12.01949873,paper_15m_loss,-27.82104721,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for kPEPE 1h label, then rerun execution check if still visible"
DOGE,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,23.98682611,6,11.98682611,paper_15m_loss,-26.27635557,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for DOGE 1h label, then rerun execution check if still visible"
SPX,paper_crowded_momentum_reversal_candidate,short_perp,monitor_conflict_relabel,23.89560320,6,11.89560320,paper_15m_loss,-12.60498975,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for SPX 1h label, then rerun execution check if still visible"
FET,paper_crowded_momentum_reversal_candidate,short_perp,monitor_conflict_relabel,23.78315826,6,11.78315826,paper_15m_loss,-38.86527081,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for FET 1h label, then rerun execution check if still visible"
VIRTUAL,paper_crowded_momentum_reversal_candidate,short_perp,repeat_forward_label_priority,23.71211318,6,11.58008230,paper_15m_win,1.32030883,pending_1h,,,,repeated monitor candidate has a positive prior paper label,"wait for VIRTUAL 1h label, then rerun execution check if still visible"
IMX,paper_crowded_momentum_reversal_candidate,short_perp,monitor_conflict_relabel,21.64229653,5,11.64229653,paper_15m_loss,-59.50585220,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for IMX 1h label, then rerun execution check if still visible"
INJ,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,21.56357009,5,11.56357009,paper_15m_loss,-0.84926875,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for INJ 1h label, then rerun execution check if still visible"
CRV,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,17.42239427,3,11.42239427,paper_15m_loss,-43.55184058,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for CRV 1h label, then rerun execution check if still visible"
BNB,paper_crowded_momentum_reversal_candidate,short_perp,repeat_forward_label_priority,15.97578459,2,11.43225502,paper_15m_win,5.43529567,pending_1h,,,,repeated monitor candidate has a positive prior paper label,"wait for BNB 1h label, then rerun execution check if still visible"
kBONK,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,15.76824416,2,11.76824416,paper_15m_loss,-41.59023037,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for kBONK 1h label, then rerun execution check if still visible"
ADA,paper_crowded_momentum_continuation_candidate,long_perp,monitor_conflict_relabel,15.51572165,2,11.51572165,paper_15m_loss,-46.25701234,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for ADA 1h label, then rerun execution check if still visible"
CFX,paper_crowded_momentum_reversal_candidate,short_perp,monitor_conflict_relabel,15.47083744,2,11.47083744,paper_15m_loss,-43.05891152,pending_1h,,,,repeated monitor candidate conflicts with the latest paper label,"wait for CFX 1h label, then rerun execution check if still visible"
