asset,source_status,side,status,action,score,candidate_score,monitor_observations,monitor_action,current_outcome_15m,current_net_15m_bps,current_outcome_1h,current_net_1h_bps,execution_gate,candidate_size_usd,conservative_net_15m_bps,conservative_net_1h_bps,spread_bps,visible_depth_usage_10bps,history_action,history_observations,history_win_1h,history_mean_net_1h_bps,reason,next_step
SPX,paper_mark_oracle_reversion_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,6.72248052,0,,paper_15m_win,46.96037758,paper_1h_loss,-196.21301049,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,wait_for_1h_or_repeat_label,3,2,-9.90649180,15m edge failed after the 1h label matured,deprioritize SPX until a fresh 1h label supports the same lane
WIF,paper_mark_oracle_reversion_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,6.65844374,0,,paper_15m_win,25.92491437,paper_1h_loss,-137.00889098,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,wait_for_1h_or_repeat_label,1,0,-137.00889098,15m edge failed after the 1h label matured,deprioritize WIF until a fresh 1h label supports the same lane
MERL,paper_mark_oracle_reversion_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,6.28412354,0,,paper_15m_win,25.03821566,paper_1h_loss,-236.33430313,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,wait_for_1h_or_repeat_label,3,1,-45.24860716,15m edge failed after the 1h label matured,deprioritize MERL until a fresh 1h label supports the same lane
ZORA,paper_extreme_funding_carry_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,6.17314730,0,,paper_15m_win,55.80289436,paper_1h_loss,-155.24041041,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,wait_for_1h_or_repeat_label,2,1,-60.79543986,15m edge failed after the 1h label matured,deprioritize ZORA until a fresh 1h label supports the same lane
PROVE,paper_mark_oracle_reversion_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,5.83241299,0,,paper_15m_win,30.13517221,paper_1h_loss,-48.96658833,failed_1h_confirmation,250.00,49.40539392,-29.69630608,5.49269472,0.09106114,repeat_paper_probe_priority,3,2,49.39762430,15m edge failed after the 1h label matured,deprioritize PROVE until a fresh 1h label supports the same lane
SUSHI,paper_mark_oracle_reversion_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,5.54814068,0,,paper_15m_win,52.58757608,paper_1h_loss,-176.01828449,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,wait_for_1h_or_repeat_label,3,2,-17.76152781,15m edge failed after the 1h label matured,deprioritize SUSHI until a fresh 1h label supports the same lane
INIT,paper_mark_oracle_reversion_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,5.52175613,0,,paper_15m_win,69.33510220,paper_1h_loss,-91.83722015,failed_1h_confirmation,250.00,85.75894295,-75.41335705,9.57501657,0.19834405,wait_for_1h_or_repeat_label,1,0,-91.83722015,15m edge failed after the 1h label matured,deprioritize INIT until a fresh 1h label supports the same lane
ZK,paper_extreme_funding_carry_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,5.50754272,0,,paper_15m_win,44.72434598,paper_1h_loss,-126.45530279,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,wait_for_1h_or_repeat_label,3,1,-31.65018661,15m edge failed after the 1h label matured,deprioritize ZK until a fresh 1h label supports the same lane
BRETT,paper_mark_oracle_reversion_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,5.40667920,0,,paper_15m_win,32.16640921,paper_1h_loss,-155.84549036,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,wait_for_1h_or_repeat_label,3,1,-71.05433653,15m edge failed after the 1h label matured,deprioritize BRETT until a fresh 1h label supports the same lane
SAGA,paper_mark_oracle_reversion_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,5.08943479,0,,paper_15m_win,34.45626925,paper_1h_loss,-142.85807451,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,wait_for_1h_or_repeat_label,1,0,-142.85807451,15m edge failed after the 1h label matured,deprioritize SAGA until a fresh 1h label supports the same lane
PYTH,paper_mark_oracle_reversion_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,5.02176896,0,,paper_15m_win,60.95073078,paper_1h_loss,-137.81866162,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,wait_for_1h_or_repeat_label,2,0,-76.64996518,15m edge failed after the 1h label matured,deprioritize PYTH until a fresh 1h label supports the same lane
MEME,paper_mark_oracle_reversion_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,4.94086117,0,,paper_15m_win,6.88883226,paper_1h_loss,-146.00627598,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,wait_for_1h_or_repeat_label,1,0,-146.00627598,15m edge failed after the 1h label matured,deprioritize MEME until a fresh 1h label supports the same lane
HYPER,paper_mark_oracle_reversion_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,4.60246991,0,,paper_15m_win,103.12723615,paper_1h_loss,-125.35150504,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,repeat_paper_probe_priority,3,2,238.39099320,15m edge failed after the 1h label matured,deprioritize HYPER until a fresh 1h label supports the same lane
JTO,paper_extreme_funding_carry_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,3.59513106,0,,paper_15m_win,101.31946969,paper_1h_loss,-123.81991187,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,wait_for_1h_or_repeat_label,3,1,-13.44833661,15m edge failed after the 1h label matured,deprioritize JTO until a fresh 1h label supports the same lane
AIXBT,paper_extreme_funding_carry_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,3.00351111,0,,paper_15m_win,34.54697308,paper_1h_loss,-143.83701650,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,wait_for_1h_or_repeat_label,1,0,-143.83701650,15m edge failed after the 1h label matured,deprioritize AIXBT until a fresh 1h label supports the same lane
SAGA,paper_extreme_funding_carry_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,2.31919356,0,,paper_15m_win,34.45626925,paper_1h_loss,-142.85807451,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,wait_for_1h_or_repeat_label,1,0,-142.85807451,15m edge failed after the 1h label matured,deprioritize SAGA until a fresh 1h label supports the same lane
JTO,paper_crowded_momentum_reversal_candidate,short_perp,dislocation_history_deprioritize,deprioritize_until_fresh_snapshot,28.00000000,27.33134429,17,repeat_label_priority,paper_15m_loss,-143.79247133,paper_1h_win,81.34691023,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,deprioritize_until_fresh_snapshot,3,1,-36.63882431,label history is weak or negative despite the current snapshot,deprioritize JTO until repeated positive labels and an execution gate appear
STBL,paper_crowded_momentum_continuation_candidate,long_perp,dislocation_history_deprioritize,deprioritize_until_fresh_snapshot,28.00000000,20.33215756,17,repeat_label_priority,paper_15m_win,21.09947309,paper_1h_loss,-117.57255167,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,deprioritize_until_fresh_snapshot,3,1,-64.30815801,label history is weak or negative despite the current snapshot,deprioritize STBL until repeated positive labels and an execution gate appear
DASH,paper_crowded_momentum_continuation_candidate,long_perp,dislocation_history_deprioritize,deprioritize_until_fresh_snapshot,28.00000000,18.80485435,17,repeat_label_priority,paper_15m_win,2.35228235,paper_1h_loss,-183.33187206,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,deprioritize_until_fresh_snapshot,3,0,-98.84294612,label history is weak or negative despite the current snapshot,deprioritize DASH until repeated positive labels and an execution gate appear
MANTA,paper_crowded_momentum_continuation_candidate,short_perp,dislocation_history_deprioritize,deprioritize_until_fresh_snapshot,28.00000000,18.44382637,17,repeat_label_priority,paper_15m_win,10.70217727,paper_1h_win,122.44074098,paper_execution_probe,250.00,17.76895848,129.50745848,5.26523628,0.07502052,deprioritize_until_fresh_snapshot,3,1,-8.96832340,label history is weak or negative despite the current snapshot,deprioritize MANTA until repeated positive labels and an execution gate appear
WLD,paper_crowded_momentum_continuation_candidate,long_perp,dislocation_history_deprioritize,deprioritize_until_fresh_snapshot,28.00000000,17.54784033,17,repeat_label_priority,paper_15m_win,48.66541757,paper_1h_loss,-229.97637988,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,deprioritize_until_fresh_snapshot,3,2,-19.32353526,label history is weak or negative despite the current snapshot,deprioritize WLD until repeated positive labels and an execution gate appear
