timestamp,close,volume,funding_rate,open_interest
2024-04-20T00:00:00+00:00,64994.44140625,23097485495.0,4.204e-05,67260.726
2024-04-21T00:00:00+00:00,64926.64453125,20506644853.0,8.271e-05,66883.888
2024-04-22T00:00:00+00:00,66837.6796875,28282686673.0,8.98e-06,69060.579
2024-04-23T00:00:00+00:00,66407.2734375,24310975583.0,-1.083e-05,68074.222
2024-04-24T00:00:00+00:00,64276.8984375,30276655120.0,7.047e-05,70077.781
2024-04-25T00:00:00+00:00,64481.70703125,32155786816.0,1.14e-05,67299.511
2024-04-26T00:00:00+00:00,63755.3203125,24139372950.0,5.562e-05,67293.423
2024-04-27T00:00:00+00:00,63419.140625,19530783039.0,2.834e-05,67161.879
2024-04-28T00:00:00+00:00,63113.23046875,17334827993.0,2.782e-05,65747.694
2024-04-29T00:00:00+00:00,63841.12109375,26635912073.0,6.828e-05,66574.665
2024-04-30T00:00:00+00:00,60636.85546875,37840840057.0,0.0001,72561.719
2024-05-01T00:00:00+00:00,58254.01171875,48439780271.0,9.902e-05,68404.001
2024-05-02T00:00:00+00:00,59123.43359375,32711813559.0,-1.23e-06,67561.195
2024-05-03T00:00:00+00:00,62889.8359375,33172023048.0,8.091e-05,72115.025
2024-05-04T00:00:00+00:00,63891.47265625,20620477992.0,6.265e-05,73775.775
2024-05-05T00:00:00+00:00,64031.1328125,18296164805.0,3.893e-05,72614.07
2024-05-06T00:00:00+00:00,63161.94921875,28697928697.0,7.746e-05,70800.911
2024-05-07T00:00:00+00:00,62334.81640625,25930730982.0,9.028e-05,70977.329
2024-05-08T00:00:00+00:00,61187.94140625,26088172222.0,9.292e-05,69698.073
2024-05-09T00:00:00+00:00,63049.9609375,25453338161.0,7.253e-05,69749.117
2024-05-10T00:00:00+00:00,60792.77734375,27804954694.0,7.653e-05,71763.433
2024-05-11T00:00:00+00:00,60793.7109375,13842272968.0,5.067e-05,70961.068
2024-05-12T00:00:00+00:00,61448.39453125,13800459405.0,0.0001,69740.49
2024-05-13T00:00:00+00:00,62901.44921875,27889181179.0,9.151e-05,71110.334
2024-05-14T00:00:00+00:00,61552.7890625,28186271527.0,4.392e-05,67758.064
2024-05-15T00:00:00+00:00,66267.4921875,39815167074.0,2.373e-05,73614.701
2024-05-16T00:00:00+00:00,65231.58203125,31573077994.0,3.543e-05,72377.85
2024-05-17T00:00:00+00:00,67051.875,28031279310.0,-2.98e-06,74105.612
2024-05-18T00:00:00+00:00,66940.8046875,16712277406.0,-7.92e-06,75143.755
2024-05-19T00:00:00+00:00,66278.3671875,19249094538.0,4.779e-05,75130.213
2024-05-20T00:00:00+00:00,71448.1953125,43850655717.0,2.552e-05,70473.906
2024-05-21T00:00:00+00:00,70136.53125,46932005990.0,0.0001,78452.073
2024-05-22T00:00:00+00:00,69122.3359375,32802561717.0,0.0001,77768.522
2024-05-23T00:00:00+00:00,67929.5625,41895680979.0,0.0001,70841.347
2024-05-24T00:00:00+00:00,68526.1015625,29197308153.0,0.0001,70215.723
