asset,action,candidate_size_usd,gross_continuation_bps,fee_bps_per_fill,round_trip_fee_bps,spread_cost_bps,visible_depth_impact_bps,conservative_cost_bps,conservative_net_bps,near_touch_depth_5bps,visible_depth_usage,gate_action,reason
HOME,short_liquidation_squeeze_watch,2500.00,,5.00000000,10.00000000,3.22216852,10.00000000,23.22216852,,565.10500000,4.42395661,wait_for_label,no positive-direction monitor label yet
HOME,short_liquidation_squeeze_watch,5000.00,,5.00000000,10.00000000,3.22216852,10.00000000,23.22216852,,565.10500000,8.84791322,wait_for_label,no positive-direction monitor label yet
PEPE,long_liquidation_cascade_watch,100.00,17.78090000,5.00000000,10.00000000,,,,,,,wait_for_depth,visible near-touch depth is missing
PEPE,long_liquidation_cascade_watch,250.00,17.78090000,5.00000000,10.00000000,,,,,,,wait_for_depth,visible near-touch depth is missing
PEPE,long_liquidation_cascade_watch,500.00,17.78090000,5.00000000,10.00000000,,,,,,,wait_for_depth,visible near-touch depth is missing
PEPE,long_liquidation_cascade_watch,1000.00,17.78090000,5.00000000,10.00000000,,,,,,,wait_for_depth,visible near-touch depth is missing
PEPE,long_liquidation_cascade_watch,2500.00,17.78090000,5.00000000,10.00000000,,,,,,,wait_for_depth,visible near-touch depth is missing
PEPE,long_liquidation_cascade_watch,5000.00,17.78090000,5.00000000,10.00000000,,,,,,,wait_for_depth,visible near-touch depth is missing
OPN,mixed_liquidation_flow_watch,100.00,,5.00000000,10.00000000,,,,,,,wait_for_label,no positive-direction monitor label yet
OPN,mixed_liquidation_flow_watch,250.00,,5.00000000,10.00000000,,,,,,,wait_for_label,no positive-direction monitor label yet
OPN,mixed_liquidation_flow_watch,500.00,,5.00000000,10.00000000,,,,,,,wait_for_label,no positive-direction monitor label yet
OPN,mixed_liquidation_flow_watch,1000.00,,5.00000000,10.00000000,,,,,,,wait_for_label,no positive-direction monitor label yet
OPN,mixed_liquidation_flow_watch,2500.00,,5.00000000,10.00000000,,,,,,,wait_for_label,no positive-direction monitor label yet
OPN,mixed_liquidation_flow_watch,5000.00,,5.00000000,10.00000000,,,,,,,wait_for_label,no positive-direction monitor label yet
SUI,mixed_liquidation_flow_watch,100.00,,5.00000000,10.00000000,,,,,,,wait_for_label,no positive-direction monitor label yet
SUI,mixed_liquidation_flow_watch,250.00,,5.00000000,10.00000000,,,,,,,wait_for_label,no positive-direction monitor label yet
SUI,mixed_liquidation_flow_watch,500.00,,5.00000000,10.00000000,,,,,,,wait_for_label,no positive-direction monitor label yet
SUI,mixed_liquidation_flow_watch,1000.00,,5.00000000,10.00000000,,,,,,,wait_for_label,no positive-direction monitor label yet
SUI,mixed_liquidation_flow_watch,2500.00,,5.00000000,10.00000000,,,,,,,wait_for_label,no positive-direction monitor label yet
SUI,mixed_liquidation_flow_watch,5000.00,,5.00000000,10.00000000,,,,,,,wait_for_label,no positive-direction monitor label yet
CL,long_liquidation_cascade_watch,100.00,-6.50900000,5.00000000,10.00000000,,,,,,,blocked_by_label,monitor label is not positive
CL,long_liquidation_cascade_watch,250.00,-6.50900000,5.00000000,10.00000000,,,,,,,blocked_by_label,monitor label is not positive
CL,long_liquidation_cascade_watch,500.00,-6.50900000,5.00000000,10.00000000,,,,,,,blocked_by_label,monitor label is not positive
CL,long_liquidation_cascade_watch,1000.00,-6.50900000,5.00000000,10.00000000,,,,,,,blocked_by_label,monitor label is not positive
CL,long_liquidation_cascade_watch,2500.00,-6.50900000,5.00000000,10.00000000,,,,,,,blocked_by_label,monitor label is not positive
CL,long_liquidation_cascade_watch,5000.00,-6.50900000,5.00000000,10.00000000,,,,,,,blocked_by_label,monitor label is not positive
LAB,long_liquidation_cascade_watch,100.00,-65.41550000,5.00000000,10.00000000,,,,,,,blocked_by_label,monitor label is not positive
LAB,long_liquidation_cascade_watch,250.00,-65.41550000,5.00000000,10.00000000,,,,,,,blocked_by_label,monitor label is not positive
LAB,long_liquidation_cascade_watch,500.00,-65.41550000,5.00000000,10.00000000,,,,,,,blocked_by_label,monitor label is not positive
LAB,long_liquidation_cascade_watch,1000.00,-65.41550000,5.00000000,10.00000000,,,,,,,blocked_by_label,monitor label is not positive
LAB,long_liquidation_cascade_watch,2500.00,-65.41550000,5.00000000,10.00000000,,,,,,,blocked_by_label,monitor label is not positive
LAB,long_liquidation_cascade_watch,5000.00,-65.41550000,5.00000000,10.00000000,,,,,,,blocked_by_label,monitor label is not positive
