timestamp,symbol,name,peg_type,peg_mechanism,current_supply_usd,day_change_usd,week_change_usd,month_change_usd,price
2026-06-08T15:11:40.503707+00:00,USDX,USDX,peggedUSD,crypto-backed,7671982.11,-1292.35,-198079.72,-337019.75,0.73596186
2026-06-08T15:11:40.503707+00:00,ctUSD,Citrea USD,peggedUSD,fiat-backed,23706645.94,-34672.39,185687.88,17637193.75,0.00000000
2026-06-08T15:11:40.503707+00:00,USX,dForce USD,peggedUSD,crypto-backed,20814182.79,-0.00,-176458.75,5681544.01,0.00000000
2026-06-08T15:11:40.503707+00:00,WUSD,Worldwide USD,peggedUSD,fiat-backed,11422978.85,2210.28,165954.11,-40641.83,0.99678453
2026-06-08T15:11:40.503707+00:00,USDaf,Asymmetry USDaf V2,peggedUSD,crypto-backed,524306.09,47373.09,-165167.54,-190894.02,0.98904206
2026-06-08T15:11:40.503707+00:00,EUSD,Electronic USD,peggedUSD,crypto-backed,23285290.13,-51269.71,-154816.29,-500905.93,0.99863666
2026-06-08T15:11:40.503707+00:00,DJED,Djed StableCoin,peggedUSD,algorithmic,3056177.18,-81149.76,-144285.71,-166477.60,0.98317643
2026-06-08T15:11:40.503707+00:00,USDM,Moneta,peggedUSD,fiat-backed,14540922.46,23091.47,144251.29,-158569.44,0.99967417
2026-06-08T15:11:40.503707+00:00,USC,Orby USC,peggedUSD,crypto-backed,248203.04,-361.00,-138046.58,-160267.88,0.00000000
2026-06-08T15:11:40.503707+00:00,USD3,Web 3 Dollar,peggedUSD,crypto-backed,4890981.74,-43227.93,-107651.62,140181.23,1.09483180
2026-06-08T15:11:40.503707+00:00,DLLR,Sovryn Dollar,peggedUSD,crypto-backed,1810795.99,100105.92,87450.89,150099.00,0.99758164
2026-06-08T15:11:40.503707+00:00,NECT,Nectar,peggedUSD,crypto-backed,414343.49,371.85,-69323.90,-117541.84,0.96900317
2026-06-08T15:11:40.503707+00:00,BNBUSD,Sigma Money bnbUSD,peggedUSD,crypto-backed,414239.35,0.00,-68996.14,-186587.66,0.99970773
2026-06-08T15:11:40.503707+00:00,BOLD,Legacy BOLD,peggedUSD,crypto-backed,238678.41,0.00,-68844.21,-69347.24,0.99967417
2026-06-08T15:11:40.503707+00:00,HAI,Lets Get HAI,peggedUSD,crypto-backed,564723.44,-6871.85,-62512.09,-56944.72,1.31876441
2026-06-08T15:11:40.503707+00:00,invUSD,invUSD Stablecoin,peggedUSD,crypto-backed,58895.11,0.00,58895.11,58895.11,0.99650302
2026-06-08T15:11:40.503707+00:00,cgUSD,Cygnus Finance Global USD,peggedUSD,fiat-backed,75618259.26,0.19,55840.40,217850.00,0.99769644
2026-06-08T15:11:40.503707+00:00,FXD,Fathom Dollar,peggedUSD,crypto-backed,1133966.77,0.00,-54929.23,-102941.78,1.00324817
2026-06-08T15:11:40.503707+00:00,USDI,Interest Protocol,peggedUSD,crypto-backed,1205941.29,13531.12,54012.56,1198922.67,0.99967417
2026-06-08T15:11:40.503707+00:00,USDF,Astherus,peggedUSD,crypto-backed,116701946.40,81206.22,53641.08,-2159565.40,0.99886087
2026-06-08T15:11:40.503707+00:00,USDXL,Last USD,peggedUSD,crypto-backed,377215.99,-56613.12,-50857.01,-598465.22,0.98919742
2026-06-08T15:11:40.503707+00:00,SCUSD,Rings scUSD,peggedUSD,crypto-backed,751872.57,-1077.52,-50741.04,-78577.17,0.99974461
2026-06-08T15:11:40.503707+00:00,rUSD,Reservoir Stablecoin,peggedUSD,fiat-backed,359095.23,1077.48,50178.05,662.32,1.00063540
2026-06-08T15:11:40.503707+00:00,EBUSD,EBUSD,peggedUSD,crypto-backed,68766.96,-24701.36,-47759.27,-70531.67,0.99452872
2026-06-08T15:11:40.503707+00:00,XUSD,XUSD,peggedUSD,crypto-backed,1960100.86,68906.18,46475.93,-25758.25,0.99468761
2026-06-08T15:11:40.503707+00:00,YUSD,Aegis YUSD,peggedUSD,fiat-backed,35927551.04,-0.07,45122.68,-36567.88,0.00000000
2026-06-08T15:11:40.503707+00:00,USDm,Mento Dollar,peggedUSD,algorithmic,17700613.46,-63403.91,44198.04,1771758.98,0.99974188
2026-06-08T15:11:40.503707+00:00,syUSD,Synnax Stablecoin,peggedUSD,crypto-backed,2150642.29,0.00,-43833.91,-1438927.66,0.00000000
2026-06-08T15:11:40.503707+00:00,USDGLO,Glo Dollar,peggedUSD,fiat-backed,2154402.69,3656.92,42973.16,97299.96,0.99910348
2026-06-08T15:11:40.503707+00:00,AID,GAIB AID,peggedUSD,fiat-backed,20961517.28,159803.94,-41964.19,4189722.90,0.00000000
2026-06-08T15:11:40.503707+00:00,THUSD,Threshold USD,peggedUSD,crypto-backed,554520.07,0.00,-36764.74,-41135.63,1.00064429
2026-06-08T15:11:40.503707+00:00,USP,Pareto USP,peggedUSD,crypto-backed,778571.69,0.00,-29031.89,-1375483.26,0.00000000
2026-06-08T15:11:40.503707+00:00,HEXDC,HEX Dollar Coin,peggedUSD,crypto-backed,74252.39,-2719.91,-26466.06,-32507.57,1.06578957
2026-06-08T15:11:40.503707+00:00,FEI,Fei USD,peggedUSD,algorithmic,3827384.50,26288.73,26294.89,30043.36,1.00620063
2026-06-08T15:11:40.503707+00:00,VUSD,VDollar Finance,peggedUSD,crypto-backed,52014.63,651.48,-22597.70,-52517.41,0.99967417
2026-06-08T15:11:40.503707+00:00,USDST,USDST,peggedUSD,fiat-backed,5379643.22,-20817.08,-21118.48,5379643.22,0.99962394
2026-06-08T15:11:40.503707+00:00,USDFC,USDFC,peggedUSD,crypto-backed,122183.29,-4882.27,-21060.34,-33754.75,1.00403061
2026-06-08T15:11:40.503707+00:00,IAUSD,iAUSD,peggedUSD,crypto-backed,167533.41,0.00,-20770.86,-20415.98,0.99967417
2026-06-08T15:11:40.503707+00:00,sUSD,Solayer USD,peggedUSD,fiat-backed,6149304.90,651.55,-18332.30,-23684.69,1.11165738
2026-06-08T15:11:40.503707+00:00,BNUSD,Balanced Dollars,peggedUSD,crypto-backed,939045.72,-501.55,-16820.35,-89016.82,0.99921279
2026-06-08T15:11:40.503707+00:00,USDH,Hermetica USDh,peggedUSD,fiat-backed,9507081.45,231.20,16649.13,298177.09,0.00000000
2026-06-08T15:11:40.503707+00:00,USND,Nerite USND,peggedUSD,crypto-backed,73808.83,-392.81,-16376.95,-23219.54,0.98800880
2026-06-08T15:11:40.503707+00:00,USSD,US Sonic Dollar,peggedUSD,crypto-backed,2197725.48,581.12,-15977.42,-100142.53,0.00000000
2026-06-08T15:11:40.503707+00:00,NXUSD,NXUSD,peggedUSD,crypto-backed,7589961.13,-0.85,-11147.58,-11147.58,0.00000000
2026-06-08T15:11:40.503707+00:00,KUSD,Kolibri USD,peggedUSD,crypto-backed,502358.82,-396.35,-10312.39,-19095.83,1.09870404
2026-06-08T15:11:40.503707+00:00,SUSD,sUSD,peggedUSD,crypto-backed,28477817.42,19672.27,9547.58,-60926.18,0.54336002
2026-06-08T15:11:40.503707+00:00,SIGUSD,SigmaUSD,peggedUSD,algorithmic,195936.04,0.00,-8444.26,-11414.65,0.99967417
2026-06-08T15:11:40.503707+00:00,phUSD,Phoenix USD,peggedUSD,crypto-backed,42462.24,0.00,7510.05,13725.59,0.00000000
