asset,scenario,observations,long_venue,short_venue,mean_annualized_spread,positive_net_8h_rate,mean_net_8h_proxy,mean_net_24h_proxy,fee_round_trip_rate,net_8h_after_fee,net_24h_after_fee,mean_breakeven_hold_hours,mean_capacity_proxy_notional,survives_8h,survives_24h
ATOM,very_low_fee,6,OkxSwap,HlPerp,0.48824607,0,-0.00283809,-0.00194632,0.00008,-0.00291809,-0.00202632,58.8905,4522.5027557,False,False
CFX,one_bps_each,6,OkxSwap,HlPerp,0.25494659,0,-0.00212585,-0.0016602,0.0004,-0.00252585,-0.0020602,81.0507,4959.6473704,False,False
JUP,low_fee,6,OkxSwap,HlPerp,0.22435002,0,-0.00229322,-0.00188345,0.0002,-0.00249322,-0.00208345,97.7744,10931.94285637,False,False
ZRO,low_fee,3,OkxSwap,HlPerp,0,0,-0.00191401,-0.00191401,0.0002,-0.00211401,-0.00211401,0,24407.42678647,False,False
S,one_bps_each,6,OkxSwap,HlPerp,0.32177904,0,-0.0023046,-0.00171688,0.0004,-0.0027046,-0.00211688,71.2438,1602.60543083,False,False
CC,low_fee,6,OkxSwap,HlPerp,0.20014425,0,-0.00229293,-0.00192737,0.0002,-0.00249293,-0.00212737,110.5101,35523.29506873,False,False
ATOM,low_fee,6,OkxSwap,HlPerp,0.48824607,0,-0.00283809,-0.00194632,0.0002,-0.00303809,-0.00214632,58.8905,4522.5027557,False,False
WIF,one_bps_each,6,HlPerp,OkxSwap,0.05721248,0,-0.00185126,-0.00174676,0.0004,-0.00225126,-0.00214676,297.5712,12289.77838927,False,False
ICP,one_bps_each,6,OkxSwap,HlPerp,0,0,-0.00174952,-0.00174952,0.0004,-0.00214952,-0.00214952,0,11510.64269177,False,False
DASH,very_low_fee,6,OkxSwap,HlPerp,0.14982819,0,-0.00235695,-0.00208329,0.00008,-0.00243695,-0.00216329,151.4888,14619.41159277,False,False
STABLE,one_bps_each,6,OkxSwap,HlPerp,0.29571594,0,-0.00233895,-0.00179882,0.0004,-0.00273895,-0.00219882,79.9313,11491.09580401,False,False
ALGO,very_low_fee,6,OkxSwap,HlPerp,0.31158794,0,-0.00274069,-0.00217158,0.00008,-0.00282069,-0.00225158,85.0487,3895.61110767,False,False
DASH,low_fee,6,OkxSwap,HlPerp,0.14982819,0,-0.00235695,-0.00208329,0.0002,-0.00255695,-0.00228329,151.4888,14619.41159277,False,False
JUP,one_bps_each,6,OkxSwap,HlPerp,0.22435002,0,-0.00229322,-0.00188345,0.0004,-0.00269322,-0.00228345,97.7744,10931.94285637,False,False
ANIME,very_low_fee,6,OkxSwap,HlPerp,0.06527618,0,-0.00232628,-0.00220705,0.00008,-0.00240628,-0.00228705,320.5544,2260.27189656,False,False
STX,very_low_fee,6,OkxSwap,HlPerp,0.25736842,0,-0.00269817,-0.00222809,0.00008,-0.00277817,-0.00230809,99.8352,2339.35810569,False,False
ZRO,one_bps_each,3,OkxSwap,HlPerp,0,0,-0.00191401,-0.00191401,0.0004,-0.00231401,-0.00231401,0,24407.42678647,False,False
CC,one_bps_each,6,OkxSwap,HlPerp,0.20014425,0,-0.00229293,-0.00192737,0.0004,-0.00269293,-0.00232737,110.5101,35523.29506873,False,False
ATOM,one_bps_each,6,OkxSwap,HlPerp,0.48824607,0,-0.00283809,-0.00194632,0.0004,-0.00323809,-0.00234632,58.8905,4522.5027557,False,False
OP,very_low_fee,5,OkxSwap,HlPerp,0.41407193,0,-0.00302514,-0.00226885,0.00008,-0.00310514,-0.00234885,72.002,7366.92859524,False,False
ALGO,low_fee,6,OkxSwap,HlPerp,0.31158794,0,-0.00274069,-0.00217158,0.0002,-0.00294069,-0.00237158,85.0487,3895.61110767,False,False
YGG,very_low_fee,6,OkxSwap,HlPerp,0,0,-0.00230308,-0.00230308,0.00008,-0.00238308,-0.00238308,0,1724.74316812,False,False
ANIME,low_fee,6,OkxSwap,HlPerp,0.06527618,0,-0.00232628,-0.00220705,0.0002,-0.00252628,-0.00240705,320.5544,2260.27189656,False,False
STX,low_fee,6,OkxSwap,HlPerp,0.25736842,0,-0.00269817,-0.00222809,0.0002,-0.00289817,-0.00242809,99.8352,2339.35810569,False,False
OP,low_fee,5,OkxSwap,HlPerp,0.41407193,0,-0.00302514,-0.00226885,0.0002,-0.00322514,-0.00246885,72.002,7366.92859524,False,False
DASH,one_bps_each,6,OkxSwap,HlPerp,0.14982819,0,-0.00235695,-0.00208329,0.0004,-0.00275695,-0.00248329,151.4888,14619.41159277,False,False
AR,very_low_fee,6,OkxSwap,HlPerp,0.33707825,0,-0.00303071,-0.00241504,0.00008,-0.00311071,-0.00249504,86.7518,12136.90727119,False,False
YGG,low_fee,6,OkxSwap,HlPerp,0,0,-0.00230308,-0.00230308,0.0002,-0.00250308,-0.00250308,0,1724.74316812,False,False
ALGO,one_bps_each,6,OkxSwap,HlPerp,0.31158794,0,-0.00274069,-0.00217158,0.0004,-0.00314069,-0.00257158,85.0487,3895.61110767,False,False
ANIME,one_bps_each,6,OkxSwap,HlPerp,0.06527618,0,-0.00232628,-0.00220705,0.0004,-0.00272628,-0.00260705,320.5544,2260.27189656,False,False
AR,low_fee,6,OkxSwap,HlPerp,0.33707825,0,-0.00303071,-0.00241504,0.0002,-0.00323071,-0.00261504,86.7518,12136.90727119,False,False
STX,one_bps_each,6,OkxSwap,HlPerp,0.25736842,0,-0.00269817,-0.00222809,0.0004,-0.00309817,-0.00262809,99.8352,2339.35810569,False,False
OP,one_bps_each,5,OkxSwap,HlPerp,0.41407193,0,-0.00302514,-0.00226885,0.0004,-0.00342514,-0.00266885,72.002,7366.92859524,False,False
SPX,very_low_fee,6,OkxSwap,HlPerp,0,0,-0.00259687,-0.00259687,0.00008,-0.00267687,-0.00267687,0,14352.89957013,False,False
YGG,one_bps_each,6,OkxSwap,HlPerp,0,0,-0.00230308,-0.00230308,0.0004,-0.00270308,-0.00270308,0,1724.74316812,False,False
GALA,very_low_fee,6,OkxSwap,HlPerp,0.11944649,0,-0.00287969,-0.00266153,0.00008,-0.00295969,-0.00274153,219.2557,1445.50604087,False,False
SPX,low_fee,6,OkxSwap,HlPerp,0,0,-0.00259687,-0.00259687,0.0002,-0.00279687,-0.00279687,0,14352.89957013,False,False
AZTEC,very_low_fee,6,OkxSwap,HlPerp,0.52864022,0,-0.0036909,-0.00272534,0.00008,-0.0037709,-0.00280534,69.1064,2442.15455556,False,False
AERO,very_low_fee,6,HlPerp,OkxSwap,0.06263655,0,-0.00284876,-0.00273436,0.00008,-0.00292876,-0.00281436,498.5355,3476.60708098,False,False
AR,one_bps_each,6,OkxSwap,HlPerp,0.33707825,0,-0.00303071,-0.00241504,0.0004,-0.00343071,-0.00281504,86.7518,12136.90727119,False,False
SYRUP,very_low_fee,6,OkxSwap,HlPerp,0,0,-0.00275918,-0.00275918,0.00008,-0.00283918,-0.00283918,0,3553.10918815,False,False
2Z,very_low_fee,6,HlPerp,OkxSwap,0.02111533,0,-0.00280508,-0.00276651,0.00008,-0.00288508,-0.00284651,1337.5194,1292.77483573,False,False
GALA,low_fee,6,OkxSwap,HlPerp,0.11944649,0,-0.00287969,-0.00266153,0.0002,-0.00307969,-0.00286153,219.2557,1445.50604087,False,False
AIXBT,very_low_fee,6,HlPerp,OkxSwap,0.33136724,0,-0.00339841,-0.00279317,0.00008,-0.00347841,-0.00287317,99.0121,2429.25532429,False,False
MORPHO,very_low_fee,6,OkxSwap,HlPerp,0.35548331,0,-0.00344267,-0.00279339,0.00008,-0.00352267,-0.00287339,92.8787,7862.88727373,False,False
ZK,very_low_fee,3,HlPerp,OkxSwap,0.01521714,0,-0.00285118,-0.00282339,0.00008,-0.00293118,-0.00290339,5382.0382,2458.62343925,False,False
DYDX,very_low_fee,5,OkxSwap,HlPerp,0.12907067,0,-0.00306131,-0.00282557,0.00008,-0.00314131,-0.00290557,215.7916,2416.0757604,False,False
IMX,very_low_fee,6,OkxSwap,HlPerp,0.18499143,0,-0.0031767,-0.00283881,0.00008,-0.0032567,-0.00291881,158.2746,2352.42857367,False,False
