asset,observations,dominant_long_venue,dominant_short_venue,mean_annualized_spread,mean_net_8h_proxy,min_net_8h_proxy,max_net_8h_proxy,positive_net_8h_rate,mean_net_24h_proxy,mean_breakeven_hold_hours,mean_capacity_proxy_notional
BCH,6,OkxSwap,HlPerp,0.18411734,-0.00101749,-0.00114459,-0.00085438,0.00000000,-0.00068121,56.4229,26726.42248427
ASTER,6,OkxSwap,HlPerp,0.01522668,-0.00107746,-0.00120267,-0.00092070,0.00000000,-0.00104965,628.9469,44252.85080020
HBAR,6,OkxSwap,HlPerp,0.18298510,-0.00117958,-0.00140360,-0.00099699,0.00000000,-0.00084536,64.4634,12045.91304394
CRV,6,OkxSwap,HlPerp,0.19316440,-0.00118374,-0.00129792,-0.00108624,0.00000000,-0.00083093,61.6841,24655.45117691
VIRTUAL,6,OkxSwap,HlPerp,0.16660157,-0.00118467,-0.00136522,-0.00093942,0.00000000,-0.00088037,70.9778,12468.83114396
UNI,6,OkxSwap,HlPerp,0.05129635,-0.00120367,-0.00150279,-0.00072240,0.00000000,-0.00110998,213.3372,10508.26734573
NEAR,6,OkxSwap,HlPerp,0.27988151,-0.00126410,-0.00144670,-0.00109075,0.00000000,-0.00075290,47.5715,317101.89596570
TON,6,OkxSwap,HlPerp,0.24415027,-0.00127040,-0.00155140,-0.00102021,0.00000000,-0.00082446,53.5791,336458.08221663
ONDO,6,OkxSwap,HlPerp,0.13289084,-0.00134063,-0.00153407,-0.00112804,0.00000000,-0.00109790,96.4801,120048.93066570
MON,6,OkxSwap,HlPerp,0.63096696,-0.00135965,-0.00151735,-0.00123009,0.00000000,-0.00020720,26.8651,24323.18599482
JTO,6,OkxSwap,HlPerp,1.04707635,-0.00138767,-0.00157303,-0.00126793,0.00000000,0.00052480,19.6073,51289.30152900
STRK,6,HlPerp,OkxSwap,0.01865162,-0.00140797,-0.00182616,-0.00118805,0.00000000,-0.00137391,1232.5673,8547.13177856
CHIP,6,OkxSwap,HlPerp,0.27951219,-0.00141204,-0.00167436,-0.00130794,0.00000000,-0.00090152,52.2635,9080.25199824
TRUMP,6,HlPerp,OkxSwap,0.05079019,-0.00144156,-0.00155498,-0.00128707,0.00000000,-0.00134879,258.8802,12249.68972617
ARB,6,OkxSwap,HlPerp,0.19188761,-0.00148258,-0.00166765,-0.00117476,0.00000000,-0.00113210,75.6792,20326.59313177
APT,6,OkxSwap,HlPerp,0.20374438,-0.00150121,-0.00193029,-0.00117242,0.00000000,-0.00112907,72.5549,16637.73939721
LIT,6,OkxSwap,HlPerp,0.07718439,-0.00153779,-0.00228287,-0.00124330,0.00000000,-0.00139682,182.4602,51686.27920000
