snapshot_timestamp,venue,token_symbol,action,direction,directional_return_15m,annualized_funding,funding_support,liquidity_usd,friction_bps,okx_liquidation_action,okx_liquidation_score,context_score,note
2026-06-08T00:05:42.042449+00:00,OKX,NEAR,chain_flow_reversal_watch,1,,-0.03880284,0.03880284,135808899.90000001,4.88878025,,,-0.20563617,funding helps direction
2026-06-08T00:05:42.042449+00:00,HL,ADA,chain_flow_reversal_watch,1,,-0.03999203,0.03999203,13966173.06673000,5.05419559,,,-0.21271775,funding helps direction
2026-06-08T00:05:42.042449+00:00,HL,BNB,chain_flow_reversal_watch,1,,0.10950000,-0.10950000,10445661.94367000,2.18508678,,,-0.21875434,weak current context
2026-06-08T00:05:42.042449+00:00,HL,SUI,chain_flow_reversal_watch,1,,0.10950000,-0.10950000,41218399.67785004,2.90759146,mixed_liquidation_flow_watch,0.00284028,-0.22647677,weak current context
2026-06-08T09:52:37.576082+00:00,OKX,SOL,chain_flow_reversal_watch,1,,-0.38248296,0.38248296,703863000.42240000,1.53174542,long_liquidation_cascade_watch,0.03314302,0.63732589,funding helps direction; has recent liquidation context
2026-06-08T09:52:37.576082+00:00,OKX,HYPE,chain_flow_reversal_watch,1,,-0.06815595,0.06815595,401033018.49000001,1.68506193,short_liquidation_squeeze_watch,0.06186958,0.48390285,funding helps direction; has recent liquidation context
2026-06-08T09:52:37.576082+00:00,OKX,ETH,chain_flow_reversal_watch,1,,-0.15704855,0.15704855,6915479767.85633945,0.06135628,mixed_liquidation_flow_watch,0.02706681,0.42464884,funding helps direction; has recent liquidation context
2026-06-08T09:52:37.576082+00:00,OKX,SUI,chain_flow_reversal_watch,1,,0.06464509,-0.06464509,75677855.09989999,1.33680904,long_liquidation_cascade_watch,0.08614127,0.36851446,has recent liquidation context
2026-06-08T09:52:37.576082+00:00,OKX,BTC,chain_flow_reversal_watch,1,,0.00598260,-0.00598260,6477616970.73072052,0.01609118,short_liquidation_squeeze_watch,0.02886173,0.28183014,has recent liquidation context
2026-06-08T09:52:37.576082+00:00,OKX,MON,chain_flow_reversal_watch,1,,-0.79807481,0.79807481,7766150.04720000,4.55477112,,,0.27226144,funding helps direction
2026-06-08T09:52:37.576082+00:00,HL,SOL,chain_flow_reversal_watch,1,,-0.11745758,0.11745758,303069550.33613062,3.70020766,long_liquidation_cascade_watch,0.03314302,0.26387740,funding helps direction; has recent liquidation context
2026-06-08T09:52:37.576082+00:00,HL,HYPE,chain_flow_reversal_watch,1,,0.10950000,-0.10950000,766770426.01630890,3.28404555,short_liquidation_squeeze_watch,0.06186958,0.22629772,has recent liquidation context
2026-06-08T09:52:37.576082+00:00,HL,BTC,chain_flow_reversal_watch,1,,0.10950000,-0.10950000,2972300146.74884319,0.15763795,short_liquidation_squeeze_watch,0.02886173,0.17123540,has recent liquidation context
2026-06-08T09:52:37.576082+00:00,HL,ETH,chain_flow_reversal_watch,1,,0.03407728,-0.03407728,961903409.70219088,1.56053058,mixed_liquidation_flow_watch,0.02706681,0.15856429,has recent liquidation context
2026-06-08T09:52:37.576082+00:00,HL,SUI,chain_flow_reversal_watch,1,,0.10950000,-0.10950000,50979503.43092998,4.64967984,long_liquidation_cascade_watch,0.08614127,0.15801601,has recent liquidation context
2026-06-08T09:52:37.576082+00:00,OKX,NEAR,chain_flow_reversal_watch,1,,-0.03880284,0.03880284,135808899.90000001,4.88878025,short_liquidation_squeeze_watch,0.03570662,0.15143003,funding helps direction; has recent liquidation context
2026-06-08T09:52:37.576082+00:00,OKX,MEGA,chain_flow_reversal_watch,1,,-0.23267659,0.23267659,7542695.46560000,2.06932230,,,0.12921047,funding helps direction
2026-06-08T09:52:37.576082+00:00,OKX,AVAX,chain_flow_reversal_watch,1,,-0.08609638,0.08609638,25267193.81830000,1.49488004,,,0.01135238,funding helps direction
2026-06-08T09:52:37.576082+00:00,OKX,BERA,chain_flow_reversal_watch,1,,,,,,,,0.00000000,weak current context
2026-06-08T09:52:37.576082+00:00,OKX,STX,chain_flow_reversal_watch,1,,,,,,,,0.00000000,weak current context
2026-06-08T09:52:37.576082+00:00,OKX,MOVE,chain_flow_reversal_watch,1,,,,,,,,0.00000000,weak current context
2026-06-08T09:52:37.576082+00:00,OKX,SEI,chain_flow_reversal_watch,1,,,,,,,,0.00000000,weak current context
2026-06-08T09:52:37.576082+00:00,OKX,POL,chain_outflow_stress_watch,-1,,,,,,,,0.00000000,weak current context
2026-06-08T09:52:37.576082+00:00,OKX,STRK,chain_flow_reversal_watch,1,,,,,,,,0.00000000,weak current context
2026-06-08T09:52:37.576082+00:00,OKX,ARB,chain_flow_reversal_watch,1,,-0.00848212,0.00848212,11973871.07281000,1.22256862,,,-0.05264631,funding helps direction
2026-06-08T09:52:37.576082+00:00,HL,APT,chain_flow_reversal_watch,1,,-0.38630636,0.38630636,1976439.12059200,8.99685110,,,-0.06353620,funding helps direction
2026-06-08T09:52:37.576082+00:00,OKX,APT,chain_flow_reversal_watch,1,,0.02741399,-0.02741399,10879875.89250000,1.49465660,,,-0.10214682,weak current context
2026-06-08T09:52:37.576082+00:00,OKX,ADA,chain_flow_reversal_watch,1,,-0.16319057,0.16319057,65310653.28200001,6.14439324,,,-0.14402909,funding helps direction
2026-06-08T09:52:37.576082+00:00,OKX,BNB,chain_flow_reversal_watch,1,,0.08573098,-0.08573098,75975632.10600001,1.67714885,,,-0.16958842,weak current context
